Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading tokenizer/base model: sail/Sailor2-3B-Chat
Loading weights:   0%|          | 0/387 [00:00<?, ?it/s]Loading weights: 100%|##########| 387/387 [00:00<00:00, 18428.86it/s]
C:\Users\User\Desktop\NLP\.venv-1\Lib\site-packages\torch\cuda\__init__.py:287: UserWarning: 
NVIDIA GeForce RTX 5090 with CUDA capability sm_120 is not compatible with the current PyTorch installation.
The current PyTorch install supports CUDA capabilities sm_37 sm_50 sm_60 sm_61 sm_70 sm_75 sm_80 sm_86 sm_90 compute_37.
If you want to use the NVIDIA GeForce RTX 5090 GPU with PyTorch, please check the instructions at https://pytorch.org/get-started/locally/

  warnings.warn(
trainable params: 26,685,440 || all params: 3,606,542,848 || trainable%: 0.7399
Training on 12000 sentences
Steps/epoch: 750, total optimizer steps: 1500
epoch 0 step 670/1500 loss=0.0049 elapsed=56.8min lr=5.70e-05
epoch 0 step 680/1500 loss=0.0048 elapsed=57.6min lr=5.64e-05
epoch 0 step 690/1500 loss=0.0042 elapsed=58.5min lr=5.57e-05
epoch 0 step 700/1500 loss=0.0040 elapsed=59.3min lr=5.50e-05
epoch 0 step 710/1500 loss=0.0051 elapsed=60.2min lr=5.43e-05
epoch 0 step 720/1500 loss=0.0043 elapsed=61.0min lr=5.36e-05
epoch 0 step 730/1500 loss=0.0031 elapsed=61.9min lr=5.29e-05
epoch 0 step 740/1500 loss=0.0034 elapsed=62.7min lr=5.22e-05
epoch 0 step 750/1500 loss=0.0039 elapsed=63.6min lr=5.15e-05
epoch 1 step 760/1500 loss=0.0025 elapsed=64.5min lr=5.09e-05
epoch 1 step 770/1500 loss=0.0018 elapsed=65.3min lr=5.02e-05
epoch 1 step 780/1500 loss=0.0023 elapsed=66.1min lr=4.95e-05
epoch 1 step 790/1500 loss=0.0024 elapsed=67.0min lr=4.88e-05
epoch 1 step 800/1500 loss=0.0023 elapsed=67.8min lr=4.81e-05
Saving checkpoint at step 800 -> trained_models\lora_checkpoint_partial
epoch 1 step 810/1500 loss=0.0024 elapsed=68.7min lr=4.74e-05
epoch 1 step 820/1500 loss=0.0022 elapsed=69.5min lr=4.67e-05
epoch 1 step 830/1500 loss=0.0012 elapsed=70.4min lr=4.60e-05
epoch 1 step 840/1500 loss=0.0021 elapsed=71.2min lr=4.54e-05
epoch 1 step 850/1500 loss=0.0013 elapsed=72.1min lr=4.47e-05
epoch 1 step 860/1500 loss=0.0028 elapsed=72.9min lr=4.40e-05
epoch 1 step 870/1500 loss=0.0016 elapsed=73.8min lr=4.33e-05
epoch 1 step 880/1500 loss=0.0018 elapsed=74.6min lr=4.26e-05
epoch 1 step 890/1500 loss=0.0021 elapsed=75.5min lr=4.19e-05
epoch 1 step 900/1500 loss=0.0019 elapsed=76.3min lr=4.12e-05
epoch 1 step 910/1500 loss=0.0021 elapsed=77.2min lr=4.05e-05
epoch 1 step 920/1500 loss=0.0017 elapsed=78.0min lr=3.99e-05
epoch 1 step 930/1500 loss=0.0033 elapsed=78.9min lr=3.92e-05
epoch 1 step 940/1500 loss=0.0015 elapsed=79.8min lr=3.85e-05
epoch 1 step 950/1500 loss=0.0026 elapsed=80.6min lr=3.78e-05
epoch 1 step 960/1500 loss=0.0020 elapsed=81.5min lr=3.71e-05
epoch 1 step 970/1500 loss=0.0015 elapsed=82.3min lr=3.64e-05
epoch 1 step 980/1500 loss=0.0022 elapsed=83.2min lr=3.57e-05
epoch 1 step 990/1500 loss=0.0019 elapsed=84.0min lr=3.51e-05
epoch 1 step 1000/1500 loss=0.0011 elapsed=84.9min lr=3.44e-05
Saving checkpoint at step 1000 -> trained_models\lora_checkpoint_partial
epoch 1 step 1010/1500 loss=0.0012 elapsed=85.7min lr=3.37e-05
epoch 1 step 1020/1500 loss=0.0012 elapsed=86.6min lr=3.30e-05
epoch 1 step 1030/1500 loss=0.0017 elapsed=87.4min lr=3.23e-05
epoch 1 step 1040/1500 loss=0.0017 elapsed=88.3min lr=3.16e-05
epoch 1 step 1050/1500 loss=0.0020 elapsed=89.1min lr=3.09e-05
epoch 1 step 1060/1500 loss=0.0016 elapsed=90.0min lr=3.02e-05
epoch 1 step 1070/1500 loss=0.0015 elapsed=90.8min lr=2.96e-05
epoch 1 step 1080/1500 loss=0.0012 elapsed=91.7min lr=2.89e-05
epoch 1 step 1090/1500 loss=0.0022 elapsed=92.5min lr=2.82e-05
epoch 1 step 1100/1500 loss=0.0021 elapsed=93.4min lr=2.75e-05
epoch 1 step 1110/1500 loss=0.0016 elapsed=94.2min lr=2.68e-05
epoch 1 step 1120/1500 loss=0.0022 elapsed=95.1min lr=2.61e-05
epoch 1 step 1130/1500 loss=0.0016 elapsed=95.9min lr=2.54e-05
epoch 1 step 1140/1500 loss=0.0015 elapsed=96.7min lr=2.47e-05
epoch 1 step 1150/1500 loss=0.0018 elapsed=97.6min lr=2.41e-05
epoch 1 step 1160/1500 loss=0.0026 elapsed=98.4min lr=2.34e-05
epoch 1 step 1170/1500 loss=0.0017 elapsed=99.3min lr=2.27e-05
epoch 1 step 1180/1500 loss=0.0028 elapsed=100.1min lr=2.20e-05
epoch 1 step 1190/1500 loss=0.0019 elapsed=101.0min lr=2.13e-05
